name,selected,executions,jaccard,hamming,dice,kuncheva,canberra,spearman,pearson,jaccard_std,kuncheva_std,spearman_std,pearson_std
RandomForest,5,30,0.016119321291735086,0.9838806787082649,0.028505747126436783,0.028121483914320046,9.80100333689539,0.028075621310850785,-0.9218259826732693,,,,
RandomForest,10,30,0.016400167649233518,0.9835998323507664,0.030574712643678163,0.02980751947546328,19.54067872231908,0.029746235441554112,-0.8849567411078969,,,,
RandomForest,20,30,0.02131473998667337,0.9786852600133268,0.040459770114942534,0.038939826775983136,38.71083231970914,0.03888126446017483,-0.815641581132952,,,,
RandomForest,50,30,0.03174339281630026,0.9682566071836997,0.060551724137931036,0.056822570931111135,94.96905309996808,0.05681936643895738,-0.7326849336433536,,,,
RandomForest,100,30,0.03719732430521428,0.9628026756947856,0.07094252873563218,0.0635373201331743,187.52290139851286,0.06362510924014385,-0.688358011769171,,,,
RandomForest,200,30,0.03422121882692938,0.9657787811730707,0.06586206896551725,0.05085101431286606,373.58010537584926,0.05112705582668373,-0.6175032765428916,,,,
SVMRFE,5,3,0.0,1.0,0.0,-0.0003955383276639506,9.996616354569074,-0.0004232434258602253,,,,,
SVMRFE,10,3,0.017543859649122806,0.9824561403508771,0.03333333333333333,0.03256832330906405,19.39613388461291,0.03252500065638287,,,,,
SVMRFE,20,3,0.017094017094017092,0.982905982905983,0.03333333333333333,0.031802101483710855,38.921996773281144,0.03176930295647887,,,,,
SVMRFE,50,3,0.09128066574875084,0.9087193342512491,0.16666666666666666,0.16335873822377475,85.42714262776941,0.16322013583148184,,,,,
SVMRFE,100,3,0.10933704522503344,0.8906629547749665,0.19666666666666668,0.1902635634199479,166.60604098320115,0.190349458423306,,,,,
SVMRFE,200,3,0.15316212790278136,0.8468378720972186,0.265,0.25318897637795273,310.714201006785,0.2536664618056186,,,,,
Sensitivity,5,30,0.002554278416347382,0.9974457215836526,0.004597701149425287,0.0042039813887850795,9.9658398868866,0.004172789224436003,-0.9900802159891511,,,,
Sensitivity,10,30,0.0031726826645156955,0.9968273173354844,0.005977011494252874,0.005190351959189762,19.90172381035503,0.005153984283432913,-0.9866405781830903,,,,
Sensitivity,20,30,0.005807622504537205,0.9941923774954629,0.011264367816091955,0.009698177997964429,39.59688851728249,0.009648915817077244,-0.9793437630388563,,,,
Sensitivity,50,30,0.008919179387921451,0.9910808206120786,0.017517241379310346,0.013617262185039584,98.25065535621917,0.01358206671160201,-0.9681140701082288,,,,
Sensitivity,100,30,0.0150184618036666,0.9849815381963335,0.02942528735632184,0.021689158608962696,193.86642741008927,0.02166993666917708,-0.951447533874424,,,,
Sensitivity,200,30,0.02483232456478806,0.9751676754352119,0.04829885057471265,0.03300556519105063,378.88564160637617,0.03301345642133912,-0.9251965895787028,,,,
VAE,5,30,0.0005108556832694763,0.9994891443167305,0.0009195402298850575,0.0005243656156258554,9.989192756091825,0.0004781015481979903,-0.9974739611213973,,,,
